,location,latitude,longitude
0,설립기념탑,35.142071,126.927823
1,미술대학,35.14339,126.92979
2,중앙도서관,35.141972,126.931796
3,2공학관,35.139162,126.933494
4,경상대학,35.14075,126.9349
5,본관북쪽,35.14379,126.93417
6,사회과학관/사범대학,35.145391,126.934322
7,학생회관,35.143429,126.932806
8,설립기념탑(글로벌행),35.14234,126.9287
9,해오름관,35.14036,126.93202
10,항공우주,35.13871,126.93233
11,글로벌하우스,35.137616,126.933735
12,국제관,35.143168,126.931617
13,정문회전교차로,35.1419,126.92852
14,미술대학커브2,35.14323,126.92917
15,국제관삼거리,35.14346,126.93159
16,해오름관사거리,35.13917,126.9322
17,2공학관오르막2,35.13896,126.93286
18,경상대오르막2,35.13927,126.93458
19,경상대사거리,35.14032,126.93487
20,사범대갈림길,35.14474,126.93378
21,본관아래회전교차로,35.14285,126.93363
22,학생회관회전교차로입구,35.14349,35.14349
23,사범대오르막1,35.14507,126.9339
24,사범대오르막2,35.14519,126.93421
25,글로벌오르막1,35.13807,126.93249
26,항공우주삼거리,35.13762,126.93226
27,글로벌갈림길,35.13785,126.93303
