,Unnamed: 0,Unnamed: 0.1,1.8극장,IT융합대학,경상대학,공과대학제1공학관,공과대학제2공학관,교수연구동,국제관(언어교육원),그린빌리지(기숙사),글로벌하우스(기숙사),대운동장,미술대학(미술관),백학여학사(기숙사),법과대학,본관,"사회대학,사범대학",생명공학관,생산교육실험실습동,서석홀,백학남학사(기숙사),솔마루(식당),약학대학1호관,약학대학2호관,약학대학3호관,의과대학1호관,의과대학2호관,의과대학3호관,의성관(연구동),입석홀(식당),자연과학관,장미원,장황남정보통신박물관,조선간호대학,조선대학교병원,조선대학교부속고등학교,조선대학교부속중학교,조선대학교어린이집,조선대학교여자고등학교,조선대학교여자중학교,조선대학교치과병원,조선대학교병원장례식장,"조선이공대학1,3호관","조선이공대학2,4호관",주차빌딩,중앙도서관,창업보육센터,체육대학,치과대학(교육동),치과대학(연구동),태양에너지실증연구단지,학군단(ROTC),학생회관(동아리연합),"항공우주,선박해양공학관",해오름관,황금추관(고시원),조대여고사거리,조대여중삼거리1,조대여중삼거리2,미대뒤후문삼거리,백학학사삼거리(조대여중),백학학사삼거리(학생회관),서석홀삼거리(학생회관),서석홀삼거리(조대여중),1.8극장오거리,미대삼거리(1.8극장),미대사거리(후문),대운동장상측출입구,후문커브길,후문삼거리(치과방향),후문쪽길삼거리,운동장좌측삼거리,1.8극장사거리(국제관),장황남입구_1.8극장육거리,학생회관삼거리(본관오르막),사범대곡선로,사범대오르막삼거리,백학_본관계단2,백학_본관계단1,108계단좌측삼거리,108계단3,108계단4(본관),108계단2,108계단1,국제관뒷문,국제관앞문,대운동장우측중앙출구,국제관_중도사잇길,중앙도서관정문,대운동장우측아래,중앙도서관서점출구,중도_해오름관사잇길,해오름관중앙출입구,해오름관버스정류장,해오름관옆주차장,IT오솔길,"IT오솔길(중도,솔마루)","솔마루윗길(본관,법대,IT5층)",IT5층_본관갈림길,IT5층출입구,본관남쪽내리막(경상대방면),경상대버스정류장,IT_경상대오르막커브길,법대입구,2공학관버스정류장,IT_2공학관오르막,2공학관사잇길삼거리,글로벌_항공우주사잇길1,항공우주삼거리,글로벌_학군단갈림길,글로벌하우스커브길,조대부고삼거리,선박해양삼거리,"조이공1,3호관삼거리(선박해양)",조이공본부앞오거리,조이공S자커브길1,조이공S자커브길2,조이공2호관입구,조이공4호관앞커브길,대운동장하측출입구,대운동장좌측출입구,조이공1호관입구,치과병원커브길,"치과,조대부중출입구",장자연사잇길1,장자연사잇길2,정문교차로,회전교차로,장미원CU앞,"의과대학1,3호관사잇길",의과대학1호관입구,"의과대학1,2호관사잇길",체대출입구,"체대,주차빌딩갈림길","의과대학2,3호관사잇길",자연대사거리,자연대삼거리,조이공2호관_병원오르막,"어린이집,선박해양갈림길","간호대,태양연구단지갈림길",조선간호대커브길1,조선간호대출입구,태양연구단지커브길1,태양연구단지커브길2,그린빌리지커브길,그린빌리지삼거리,그린빌리지사잇길,조대병원삼거리,조선간호대커브길2,"조대병원,간호대오거리",조대병원후문사거리,조대병원정문사거리,조대병원장례식장커브길,"의성관,장례식장갈림길",의성관입구,조대병원장례식장입구,주차빌딩좌측사거리,주차빌딩후문,체대좌측뒷쪽사잇길,"조대병원,주차빌딩갈림길",약학대학갈림길,1공대앞갈림길,생산교육실습동갈림길,글로벌_항공우주사잇길2,태양에너지삼거리,조대어린이집커브길,글로벌하우스출입구,황금추관커브길,2공학관커브길,의성관뒤쪽삼거리,자연대출입구,의과대학3호관후문,의과대2호관입구,조이공1호관후문,장황남입구,서석홀입구,장미원입구,조대병원내부,IT융합대학5층,주차빌딩옥상,학생회관3층
0,,1.8극장,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,,
1,1.0,IT융합대학,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,,
2,2.0,경상대학,,,,,,,,,,,,,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.4,,57.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3.0,공과대학제1공학관,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.8,,,,,,,,,,,,,,,,,,,
4,4.0,공과대학제2공학관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8,,85.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5.0,교수연구동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.0,국제관(언어교육원),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.4,26.4,,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7.0,그린빌리지(기숙사),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.0,글로벌하우스(기숙사),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,,,,,,,,,,,,,,
9,9.0,대운동장,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.6,,,,,,,,,,,,,,,,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,75.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
